Concurso;Data;D1;D2;D3;D4;D5;D6
152;05/06/2024;18;21;31;32;34;36
153;08/06/2024;9;10;13;20;34;50
154;12/06/2024;13;14;16;23;40;41
155;15/06/2024;3;6;7;17;23;31
156;19/06/2024;23;27;28;35;40;46
157;22/06/2024;13;22;40;43;46;50
158;26/06/2024;5;15;16;39;44;48
159;29/06/2024;16;21;24;30;33;41
160;03/07/2024;10;11;12;27;32;45
161;06/07/2024;6;11;24;28;39;48
162;10/07/2024;12;15;16;37;38;50
163;13/07/2024;12;14;17;34;46;50
164;17/07/2024;10;11;14;21;22;50
165;20/07/2024;3;7;37;38;41;48
166;24/07/2024;10;19;20;42;43;44
167;27/07/2024;11;14;24;37;45;48
168;31/07/2024;2;14;15;28;32;33
169;03/08/2024;9;19;20;21;25;27
170;07/08/2024;9;10;19;39;43;44
171;10/08/2024;7;10;11;27;41;47
172;14/08/2024;5;24;36;37;41;49
173;17/08/2024;16;26;32;33;49;50
174;21/08/2024;9;14;18;38;40;47
175;24/08/2024;14;21;29;36;40;41
176;28/08/2024;11;12;21;22;23;38
177;31/08/2024;1;2;5;8;11;31
178;04/09/2024;9;21;30;36;37;47
179;06/09/2024;4;5;15;25;28;35
180;11/09/2024;4;15;26;36;39;41
181;14/09/2024;2;10;23;27;30;31
182;18/09/2024;1;11;18;29;38;50
183;21/09/2024;19;20;26;34;35;44
184;25/09/2024;5;8;10;22;25;39
185;28/09/2024;11;30;35;42;45;50
186;02/10/2024;3;15;16;21;25;47
187;05/10/2024;14;19;25;39;42;43
188;09/10/2024;1;9;23;30;47;50
189;11/10/2024;28;29;31;41;46;48
190;16/10/2024;19;28;31;37;38;40
191;19/10/2024;4;8;27;38;42;46
192;23/10/2024;1;2;27;36;39;46
193;26/10/2024;2;9;20;35;37;46
194;30/10/2024;6;8;16;32;41;47
195;01/11/2024;17;24;42;45;49;50
196;06/11/2024;1;13;21;25;35;39
197;09/11/2024;10;26;27;34;41;49
198;13/11/2024;3;7;18;19;22;41
199;16/11/2024;6;10;21;31;36;38
200;21/11/2024;5;7;10;22;28;39
201;23/11/2024;9;13;18;20;40;48
202;27/11/2024;2;6;11;17;36;46
203;30/11/2024;1;27;33;41;44;48
204;04/12/2024;7;9;11;15;17;42
205;07/12/2024;19;21;24;35;38;41
206;11/12/2024;6;26;36;41;44;45
207;14/12/2024;1;13;24;32;33;44
208;18/12/2024;1;2;3;12;18;25
209;21/12/2024;6;29;37;41;42;47
210;26/12/2024;10;11;26;33;43;47
211;28/12/2024;16;18;22;33;40;44
212;02/01/2025;25;32;39;42;46;50
213;04/01/2025;10;14;15;35;40;50
214;08/01/2025;7;8;24;28;30;46
215;11/01/2025;21;27;32;38;41;48
216;15/01/2025;7;18;25;27;33;40
217;18/01/2025;3;24;26;31;35;40
218;22/01/2025;10;11;24;35;42;47
219;25/01/2025;12;13;23;38;39;45
220;29/01/2025;5;21;22;29;36;39
221;01/02/2025;5;17;22;30;34;36
222;05/02/2025;12;18;39;40;48;49
223;08/02/2025;1;6;14;15;20;40
224;12/02/2025;5;15;25;26;30;44
225;15/02/2025;12;20;21;34;44;45
226;19/02/2025;5;22;24;30;36;39
227;22/02/2025;2;21;25;37;44;46
228;26/02/2025;3;8;13;19;31;50
229;01/03/2025;5;9;20;37;44;47
230;05/03/2025;13;14;24;34;35;39
231;08/03/2025;6;12;30;35;36;47
232;12/03/2025;4;5;21;25;26;48
233;15/03/2025;2;12;15;18;26;29
234;19/03/2025;9;14;29;33;36;41
235;22/03/2025;8;9;15;20;24;40
236;26/03/2025;1;25;27;30;36;38
237;29/03/2025;2;13;16;23;45;48
238;02/04/2025;3;12;16;21;23;35
239;05/04/2025;5;8;9;17;19;35
240;09/04/2025;10;13;15;16;30;48
241;12/04/2025;5;16;27;46;48;50
242;16/04/2025;6;12;13;14;35;40
243;19/04/2025;3;5;18;20;39;43
244;23/04/2025;7;12;13;24;32;42
245;26/04/2025;5;16;25;30;40;50
